,recipe,amt,measure,ingredient
0,chana masala,2.0,tbsp,grapeseed oil or coconut oil
1,chana masala,1.0,medium,onion
2,chana masala,3.0,tsp,cumin
3,chana masala,4.0,clove,garlic
4,chana masala,1.5,tbsp,ginger
5,chana masala,5.25,tbsp,cilantro
6,chana masala,2.0,stalk,green chillies
7,chana masala,1.0,tbsp,coriander
8,chana masala,1.0,tsp,chili powder
9,chana masala,1.0,tsp,turmeric
10,chana masala,30.0,fl oz,puree tomato
11,chana masala,15.0,fl oz,chickpeas
12,chana masala,1.0,tsp,garam masala
13,chana masala,2.0,tsp,coconut sugar
14,chana masala,1.5,tbsp,lemon juice
