,recipe,amt,measure,ingredient
0,chow mein,2.0,tbsp,oil
1,chow mein,1.0,pkg,chow mein noodle
2,chow mein,1.0,medium,onion
3,chow mein,0.5,cup,bell pepper
4,chow mein,0.5,cup,broccoli
5,chow mein,0.75,medium,carrot
6,chow mein,1.0,clove,garlic
7,chow mein,0.5,cup,cabbage
8,chow mein,0.5,cup,shiitake mushrooms
9,chow mein,0.5,cup,snow pea
10,chow mein,0.33,cup,corn
11,chow mein,2.0,tsp,cornstarch
12,chow mein,2.5,tbsp,soy sauce
13,chow mein,1.5,tbsp,hoisin sauce
14,chow mein,1.5,tbsp,rice wine
15,chow mein,2.0,tsp,sugar
16,chow mein,1.0,tsp,white pepper
17,chow mein,0.5,cup,bean sprout
18,chow mein,3.0,stalk,scallion
