,recipe,amt,measure,ingredient
0,fried rice/nasi goreng w/raita,1.5,tbsp,oil
1,fried rice/nasi goreng w/raita,2.0,clove,garlic
2,fried rice/nasi goreng w/raita,1.0,tsp,red chilli
3,fried rice/nasi goreng w/raita,1.0,medium,onion
4,fried rice/nasi goreng w/raita,3.0,cup,rice
5,fried rice/nasi goreng w/raita,2.0,tbsp,kecap manis
6,fried rice/nasi goreng w/raita,1.5,cup,greek yogurt 2%
7,fried rice/nasi goreng w/raita,1.0,cup,cucumber
8,fried rice/nasi goreng w/raita,4.0,tbsp,cilantro
9,fried rice/nasi goreng w/raita,0.5,tsp,cumin
10,fried rice/nasi goreng w/raita,0.5,tsp,garam masala
