,recipe,amt,measure,ingredient
0,macaroni pie,1.0,pkg,macaroni
1,macaroni pie,4.0,oz,cream cheese
2,macaroni pie,14.0,fl oz,evaporated milk
3,macaroni pie,2.0,large,egg
4,macaroni pie,6.0,tbsp,butter
5,macaroni pie,10.0,oz,mild cheddar cheese
6,macaroni pie,20.0,oz,sharp cheddar cheese
7,macaroni pie,10.0,oz,white cheddar cheese
8,macaroni pie,8.0,tbsp,parmesan cheese
9,macaroni pie,1.0,tsp,garlic powder
10,macaroni pie,1.0,tsp,onion powder
11,macaroni pie,1.0,pkg,Goya vegetable/salad seasoning
12,macaroni pie,1.0,cup,sour cream
13,macaroni pie,0.3333333333333333,tbsp,oil
