,recipe,amt,measure,ingredient
0,pelau,1.0,can,pigeon peas
1,pelau,2.0,cup,rice
2,pelau,3.0,tbsp,oil
3,pelau,0.75,cup,sugar
4,pelau,3.0,lb,chicken
5,pelau,1.0,small,onion
6,pelau,1.0,clove,garlic
7,pelau,1.0,cup,coconut milk
8,pelau,1.0,large,bay leaf
9,pelau,2.0,tsp,green seasoning
10,pelau,8.0,tbsp,parsley
11,pelau,1.0,stalk,thyme
12,pelau,2.0,medium,carrot
13,pelau,5.0,stalk,scallion
14,pelau,2.0,cup,calabaza
15,pelau,1.0,medium,scotch bonnet pepper
16,pelau,8.0,tbsp,ketchup
17,pelau,1.0,tbsp,butter
