,recipe,amt,measure,ingredient
0,pumpkin soup,1.0,lb,pumpkin
1,pumpkin soup,0.5,cup,coconut milk
2,pumpkin soup,10.0,cup,vegetable stock (broth?)
3,pumpkin soup,40.0,fl oz,jackfruit (shredded and core discarded)
4,pumpkin soup,1.0,medium,cho cho
5,pumpkin soup,2.0,medium,carrot
6,pumpkin soup,0.3,lb,sweet potato
7,pumpkin soup,1.0,lb,yellow yam
8,pumpkin soup,3.0,tbsp,cock soup mix
9,pumpkin soup,3.0,stalk,scallion
10,pumpkin soup,4.0,clove,garlic
11,pumpkin soup,1.0,medium,scotch bonnet pepper
12,pumpkin soup,0.5,tbsp,parsley
13,pumpkin soup,1.0,tsp,onion powder
14,pumpkin soup,6.0,stalk,thyme
15,pumpkin soup,10.0,medium,pimento berries
16,pumpkin soup,2.0,cup,flour
