,recipe,amt,measure,ingredient
0,stew chicken/cauliflower,1.0,large,cauliflower
1,stew chicken/cauliflower,1.5,tbsp,browning
2,stew chicken/cauliflower,1.0,tsp,paprika
3,stew chicken/cauliflower,4.5,tbsp,coconut oil
4,stew chicken/cauliflower,4.0,clove,garlic
5,stew chicken/cauliflower,1.0,large,onion
6,stew chicken/cauliflower,6.0,stalk,thyme
7,stew chicken/cauliflower,0.5,cup,bell pepper
8,stew chicken/cauliflower,1.0,medium,carrot
9,stew chicken/cauliflower,1.0,large,potato
10,stew chicken/cauliflower,3.0,cup,vegetable broth
11,stew chicken/cauliflower,4.5,tbsp,ketchup
12,stew chicken/cauliflower,1.5,tbsp,browning
