,recipe,amt,measure,ingredient
0,vegan jamaican bowl,1.0,lb,butternut squash
1,vegan jamaican bowl,1.0,tbsp,olive oil
2,vegan jamaican bowl,2.0,tbsp,jerk seasoning
3,vegan jamaican bowl,2.0,lb,sweet potato
4,vegan jamaican bowl,0.5,large,cauliflower
5,vegan jamaican bowl,9.0,stalk,mini sweet pepper
6,vegan jamaican bowl,4.0,tbsp,olive oil
7,vegan jamaican bowl,15.0,fl oz,kidney beans
8,vegan jamaican bowl,1.0,medium,carrot
9,vegan jamaican bowl,1.5,cup,coconut milk
10,vegan jamaican bowl,2.0,tbsp,vegetable stock (powder?)
11,vegan jamaican bowl,2.0,clove,garlic
12,vegan jamaican bowl,0.5,medium,red onion
13,vegan jamaican bowl,2.0,medium,scotch bonnet pepper
14,vegan jamaican bowl,1.0,tsp,dried parsley
15,vegan jamaican bowl,1.0,tsp,dried thyme
16,vegan jamaican bowl,0.5,tsp,paprika
17,vegan jamaican bowl,0.25,tsp,all-spice
