,recipe,amt,measure,ingredient
0,vegetarian chilli,2.0,tbsp,olive oil
1,vegetarian chilli,1.0,medium,red onion
2,vegetarian chilli,1.0,large,red bell pepper
3,vegetarian chilli,2.0,medium,carrot
4,vegetarian chilli,2.0,stalk,celery
5,vegetarian chilli,4.0,clove,garlic
6,vegetarian chilli,6.0,tsp,chili powder
7,vegetarian chilli,2.0,tsp,cumin
8,vegetarian chilli,1.5,tsp,paprika
9,vegetarian chilli,1.0,tsp,oregano
10,vegetarian chilli,30.0,fl oz,diced tomato
11,vegetarian chilli,30.0,fl oz,black beans
12,vegetarian chilli,15.0,fl oz,pinto beans
13,vegetarian chilli,1.0,large,bay leaf
14,vegetarian chilli,3.0,tbsp,cilantro
15,vegetarian chilli,2.0,tsp,lime juice
