,recipe,amt,measure,ingredient
0,vegetarian spaghetti,1.0,pkg,pasta
1,vegetarian spaghetti,2.0,tbsp,EVOO
2,vegetarian spaghetti,2.0,medium,onion
3,vegetarian spaghetti,2.0,stalk,celery
4,vegetarian spaghetti,2.0,medium,carrot
5,vegetarian spaghetti,3.0,medium,tomato
6,vegetarian spaghetti,3.0,tsp,garlic powder
7,vegetarian spaghetti,3.0,tsp,cumin
8,vegetarian spaghetti,1.0,jar,tomato sauce
9,vegetarian spaghetti,1.0,can,lentils
10,vegetarian spaghetti,1.0,stalk,chive
11,vegetarian spaghetti,1.0,pkg,nutritional yeast (optional)
